,Lattice,Dimensions,Exp Constant,Time (s),Verdict,Ratio,Seed
2,Knapsack,40,0.17771311141945423,0.0006649494171142578,True,1.0,220614721
4,Knapsack,42,-0.35,0.10978198051452637,True,1.0392304845413265,9721
6,Knapsack,44,-0.35,0.1863858699798584,True,1.0206207261596576,6221
8,Knapsack,46,0.22797467438180546,0.00652003288269043,True,1.0,220614721
10,Knapsack,48,-0.35,0.5328989028930664,True,1.0488088481701516,220614721
12,Knapsack,50,0.15273249241087297,0.0011510848999023438,True,1.0,3121
14,Knapsack,52,-0.35,1.5066008567810059,True,1.1002392084403616,6221
16,Knapsack,54,0.16175388185603404,0.0024559497833251953,True,1.0,7121
18,Knapsack,56,-0.35,4.4381890296936035,True,1.0513149660756935,6221
20,Knapsack,58,-0.35,7.307202100753784,True,1.0760551736979407,5021
22,Knapsack,60,-0.35,12.279541015625,True,1.0801234497346435,7121
24,Knapsack,62,0.14465591601927755,0.0032989978790283203,True,1.0,4421
26,Knapsack,64,-0.35,35.44714593887329,True,1.0897247358851685,6221
